fecha,horas_sueno,calidad_sueno,proteinas_g,carbohidratos_g,grasas_g,tipo_entrenamiento,volumen_total_kg,rpe
2026-05-01,8.2,9,170,350,75,Fuerza,4500,5
2026-05-02,8.0,8,165,320,70,Fuerza,4600,5
2026-05-03,8.5,9,175,360,80,Fuerza,4800,4
2026-05-04,8.0,9,165,340,75,Descanso,0,3
2026-05-05,8.1,8,170,330,72,Fuerza,4700,5
2026-05-06,8.3,9,170,350,75,Boxeo,0,4
2026-05-07,8.7,10,180,380,80,Descanso,0,2
2026-05-08,8.2,9,168,340,74,Fuerza,4900,4
2026-05-09,8.0,8,165,330,70,Fuerza,5000,4
2026-05-10,8.4,9,175,360,78,Fuerza,5100,4
2026-05-11,8.1,9,170,350,75,Boxeo,0,4
2026-05-12,8.5,9,172,360,76,Descanso,0,3
2026-05-13,8.3,9,170,340,72,Fuerza,4800,4
2026-05-14,8.6,10,175,350,75,Descanso,0,2
